id_x,created,asset_id,distance,origin_latitude,origin_longitude,origin_time_stamp,origin_address,destination_latitude,destination_longitude,destination_time_stamp,destination_address,created_day,created_week,created_month,created_year,created_dayofweek,duration_seconds,average_speed,id_y,make,model,year,make_category
35Ldjpf,2022-03-14 17:31:51.003000+00:00,0ROajub,4321.65,-1.043220043182373,37.067928314208984,2022-03-14 17:31:47+00:00,"Thika Garissa Highway, Total, Thika, Kenya",-1.041213035583496,37.09260177612305,2022-03-14 17:54:07+00:00,"Kenyatta Highway, Thika, Kiambu County, Kenya",Monday,11,3,2022,Weekday,1340.0,11.610402985074625,0ROajub,HONDA,,,medium
agWTdy5,2023-03-07 08:53:55.607000+00:00,0gMAW5w,24703.239999999994,-1.305577039718628,36.82462692260742,2023-03-07 08:53:51+00:00,"Nyayo Stadium, Nairobi, Kenya",-1.4306010007858276,36.68797302246094,2023-03-07 10:13:47+00:00,"Magadi Road, Kiserian, Kajiado County, Kenya",Tuesday,10,3,2023,Weekday,4796.0,18.542882402001666,0gMAW5w,TOYOTA,Hiace,2003.0,medium
mcXsPmo,2023-03-07 06:40:53.771000+00:00,0gMAW5w,30689.269999999953,-1.4300669431686401,36.68806838989258,2023-03-07 06:40:48+00:00,"Magadi Road, Kiserian, Kajiado County, Kenya",-1.3056379556655884,36.82487869262695,2023-03-07 08:25:04+00:00,"Nyayo Stadium, Nairobi, Kenya",Tuesday,10,3,2023,Weekday,6256.0,17.660065856777468,0gMAW5w,TOYOTA,Hiace,2003.0,medium
WRBY3Lt,2023-03-07 05:12:29.007000+00:00,0gMAW5w,24609.339999999975,-1.3054900169372559,36.8253173828125,2023-03-07 05:12:26+00:00,"Nyayo Stadium, Nairobi, Kenya",-1.4299650192260742,36.688194274902344,2023-03-07 06:29:53+00:00,"Magadi Road, Kiserian, Kajiado County, Kenya",Tuesday,10,3,2023,Weekday,4647.0,19.06469205939314,0gMAW5w,TOYOTA,Hiace,2003.0,medium
1WaNBeb,2023-03-07 03:15:18.670000+00:00,0gMAW5w,28395.709999999974,-1.3971439599990845,36.759830474853516,2023-03-07 03:15:15+00:00,"Soronik Road, Nairobi, Kenya",-1.30559504032135,36.825199127197266,2023-03-07 04:59:31+00:00,"Gandhi Avenue, Nairobi West, Nairobi, Nairobi County, Kenya",Tuesday,10,3,2023,Weekday,6256.0,16.34024232736571,0gMAW5w,TOYOTA,Hiace,2003.0,medium
3YZt6Uw,2023-03-06 23:10:01.664000+00:00,0gMAW5w,256.45,-1.397163987159729,36.7579231262207,2023-03-06 23:09:59+00:00,"Magadi Road, Langata, Ongata Rongai, Kajiado County, Kenya",-1.3973009586334229,36.75966262817383,2023-03-06 23:13:58+00:00,"Magadi Road, Langata, Ongata Rongai, Kajiado County, Kenya",Monday,10,3,2023,Weekday,239.00000000000003,3.8628451882845183,0gMAW5w,TOYOTA,Hiace,2003.0,medium
tFl5t2x,2023-03-06 17:17:22.753000+00:00,0gMAW5w,238.82000000000002,-1.3970630168914795,36.75974655151367,2023-03-06 17:17:20+00:00,"Soronik Road, Nairobi, Kenya",-1.3970580101013184,36.75773620605469,2023-03-06 17:18:50+00:00,"2, Ongata Rongai, Kenya",Monday,10,3,2023,Weekday,90.0,9.552800000000001,0gMAW5w,TOYOTA,Hiace,2003.0,medium
iwDT6J0,2023-03-06 15:26:12.835000+00:00,0gMAW5w,27722.259999999966,-1.4300049543380737,36.68815231323242,2023-03-06 15:26:07+00:00,"Magadi Road, Kiserian, Kajiado County, Kenya",-1.3971999883651733,36.759735107421875,2023-03-06 17:05:54+00:00,"Magadi Road, Langata, Ongata Rongai, Kajiado County, Kenya",Monday,10,3,2023,Weekday,5987.0,16.6694731919158,0gMAW5w,TOYOTA,Hiace,2003.0,medium
tbWMgvk,2023-03-06 14:13:49.468000+00:00,0gMAW5w,13547.450000000008,-1.3691409826278687,36.76747512817383,2023-03-06 14:13:42+00:00,"Magadi Road, Langata, Nairobi, Nairobi County, Kenya",-1.429934024810791,36.688201904296875,2023-03-06 15:15:11+00:00,"Magadi Road, Kiserian, Kajiado County, Kenya",Monday,10,3,2023,Weekday,3689.0000000000005,13.220607210626193,0gMAW5w,TOYOTA,Hiace,2003.0,medium
RueArSX,2023-03-06 12:42:41.179000+00:00,0gMAW5w,15225.349999999995,-1.3444550037384033,36.76629638671875,2023-03-06 12:42:36+00:00,"Bomas/Galleria, Nairobi, Kenya",-1.308210015296936,36.819217681884766,2023-03-06 13:55:35+00:00,"Madaraka Flyover, Nairobi, Kenya",Monday,10,3,2023,Weekday,4379.0,12.516844028316964,0gMAW5w,TOYOTA,Hiace,2003.0,medium
