id,make,model,year
QRmYjfT,TOYOTA Ractis 1.0,Ractis 1.0,2006.0
DpXMzg3,Lexus CT 200h,CT 200h,
4tQe9sV,Honda Odyssey,Odyssey,
x2LJWsl,MITSUBISHI Lancer Cedia LA-CS2A,Lancer Cedia LA-CS2A,2005.0
eH0O4bf,Nissan,Note,2011.0
O9lGdg3,MAZDA Demio,Demio,2013.0
Y9e0FaW,TOYOTA HIACE,,
ZYHwMUz,SUZUKI EVERY,,
ROamcHy,TOYOTA,Carina,2022.0
6pxF48b,Mitsubishi,Fuso canter,2008.0
3XBsRFw,BAJAJ,PR3 125 Enduro,2017.0
0gMAW5w,TOYOTA,Hiace,2003.0
f8nWgSg,PIAGGIO,,
3mc7Rgu,TOYOTA,,
NRLuFEH,NISSAN MARCH/micra/MT,MARCH/micra/MT,2010.0
xTi3deH,TOYOTA HILUX  TGN26R - Manual,HILUX  TGN26R - Manual,2016.0
DfAX0iw,TOYOTA COROLLA,,
ykONP4o,tuk tuk,Alhambra,2010.0
40ruNQU,BMW F650 GS 218,F650 GS 218,2021.0
XffJI53,HAOJIN,Future,2021.0
86sWwU3,CAR,,
CwMnt8w,Tuk Tuk,Alhambra,2014.0
aKj8hz2,PEUGEOT 207,207,2009.0
xxJ01Tb,CAR,,
7EmSkds,TOYOTA PROBOX,Prius,2009.0
qBmr6ZX,TUK TUK,Cooper,2010.0
0ROajub,HONDA,,
r4rOacq,NISSAN X-TRAIL Mpfi CVT(NEW) NT32,X-TRAIL Mpfi CVT(NEW) NT32,2014.0
48weVrM,LEXUS NX 300H CVT,NX 300H CVT,2016.0
LxNbJoh,NOAH,,
AWQ2cJJ,MARUTI,,
eHIXGyu,Car,,
pLia4Tx,PIAGGIO,,
NwRjKXf,PIAGGIO,,
